ZIP_Code,Count_Part_1_Crime,Count_Public_Safety,Count_Fire_Stations,Count_Police_Stations,Count_Corrective_Facility,Count_Education_Facility,Median_AirBNB_Price_June ,Median_Price_Entire_Home/Apt_June,Median_Price_Hotel_Room_June,Median_Price_Private_Room_June ,Median_Price_Shared_Room_June,Median_Price_September,Median_Price_Entire_Home/Apt_September,Median_Price_Hotel_Room_September,Median_Price_Private_Room_September,Median_Price_Shared_Room_September,Population,Crime_Per_Capita,Education_Per_Capita,Public_Safety_Per_Capita,,
90272,0,2,0,0,0,10,185,300,0,80,0,254,442,0,80,0,21390,0.00000,0.000467508,0.000094,,
90274,92,4,1,1,0,16,189,221.5,399,113.5,33,192,228.5,50000,119,0,25059,0.00367,0.000638493,0.000160,,
90275,235,2,0,0,0,15,145,199,0,88,0,160,211,0,87,57,40945,0.00574,0.000366345,0.000049,,
90277,0,3,1,1,1,10,140.5,142,0,69,0,133.5,137,0,70,0,34844,0.00000,0.000286993,0.000086,,
90278,1,1,0,0,0,10,209,218,0,157,231,195,198,0,135,232,42423,0.00002,0.000235721,0.000024,,
90280,4,4,1,1,1,31,241,247,0,171.5,66.5,226,234,0,148,32,91365,0.00004,0.000339298,0.000044,,
90290,37,1,0,0,0,2,260,274,151,128,0,250,258,177,123,0,6315,0.00586,0.000316706,0.000158,,
90291,5,1,0,0,0,7,122,138,91.5,74.5,0,125,143,90.5,75,0,26324,0.00019,0.000265917,0.000038,,
90292,455,2,1,1,0,1,154.5,171,123,94,0,141,175,117,84,0,23982,0.01897,4.16979E-05,0.000083,,
90301,3,3,2,2,0,20,129,157.5,128,69.5,59,120.5,143.5,122,65,64,36060,0.00008,0.000554631,0.000083,,
90303,1,2,1,1,0,5,145,177,0,75.5,0,145,206,0,74,0,22727,0.00004,0.000220003,0.000088,,
90304,286,1,0,0,0,8,237.5,233,0,285,0,230.5,225,141,282.5,0,25430,0.01125,0.000314589,0.000039,,
90305,0,1,0,0,0,3,153.5,178,0,97.5,0,151,178,0,94,0,14708,0.00000,0.000203971,0.000068,,
90401,1,5,3,3,1,3,200,216.5,0,128,83,203,220,0,127,83,8101,0.00012,0.000370325,0.000617,,
90404,7,2,1,1,0,7,120.5,135.5,216,53.5,25,125,132,0,58,27,22978,0.00030,0.000304639,0.000087,,
90405,0,3,1,1,0,11,101,144.5,0,64.5,0,149,169.5,0,61,0,27298,0.00000,0.00040296,0.000110,,
90501,7,1,0,0,0,14,90,157,0,72,0,78.5,129,0,69,0,41787,0.00017,0.000335032,0.000024,,
90502,216,1,1,1,0,3,144.5,196,264,62,0,155,198,0,64,0,18467,0.01170,0.000162452,0.000054,,
90503,3,4,1,1,1,15,105,200,141.5,79.5,0,112.5,176,141,87,0,43454,0.00007,0.000345193,0.000092,,
90504,0,2,0,0,0,11,137,177,0,77.5,0,123,172,0,95,0,33084,0.00000,0.000332487,0.000060,,
90505,1,2,0,0,0,12,125,138,0,69,0,122,132,0,69,0,35148,0.00003,0.000341413,0.000057,,
90506,0,1,1,1,0,1,57,115,0,54.5,0,132,234.5,0,57,0,0,#DIV/0!,#DIV/0!,#DIV/0!,,
90601,69,2,0,0,1,14,117,158.5,0,86,0,129,141,0,86,0,30078,0.00229,0.000465456,0.000066,,
90602,8,3,1,1,1,3,97.5,380,0,72,0,86,85.5,0,72,2125,25905,0.00031,0.000115808,0.000116,,
90603,1,1,0,0,0,4,72.5,164,0,64.5,0,104.5,243.5,0,67.5,0,21118,0.00005,0.000189412,0.000047,,
90604,271,2,0,0,0,13,155,160,0,116,0,147,157,0,117,0,39276,0.00690,0.000330991,0.000051,,
90631,38,2,0,0,0,0,82,115.5,0,61,0,95.5,138.5,0,63,0,0,#DIV/0!,#DIV/0!,#DIV/0!,,
90638,605,3,1,1,0,14,129,135,0,74.5,0,113,132.5,0,64,0,45933,0.01317,0.000304792,0.000065,,
90640,18,6,2,2,1,20,102,102,0,0,0,117,117,0,0,0,61382,0.00029,0.000325828,0.000098,,
90650,1551,5,2,2,1,29,68.5,326,0,53.5,0,77,237,0,58,0,99900,0.01553,0.00029029,0.000050,,
90660,1306,4,1,1,0,19,599.5,623,222.5,377,0,547,574,25179,283,0,60272,0.02167,0.000315238,0.000066,,
90670,2,5,1,1,0,12,140,180.5,261,67,0,141.5,162,261,70,0,17851,0.00011,0.000672231,0.000280,,
90703,1510,3,1,1,0,25,64.5,167,0,55,8,62.5,154.5,0,56,14,48108,0.03139,0.000519664,0.000062,,
90704,48,4,1,1,0,1,119,131,0,87,0,117.5,135,0,69,0,3421,0.01403,0.000292312,0.001169,,
90706,1516,3,1,1,0,17,125,166,0,64,0,119.5,157,0,64,0,76819,0.01973,0.000221299,0.000039,,
90710,75,1,0,0,0,8,152.5,167.5,0,55,150,94.5,145.5,0,55,150,26761,0.00280,0.000298942,0.000037,,
90712,981,3,1,1,0,12,106,136,0,69.5,0,131,160,0,75,0,30800,0.03185,0.00038961,0.000097,,
90713,291,1,0,0,0,8,97,176.5,0,64.5,0,90,172,0,64.5,0,28221,0.01031,0.000283477,0.000035,,
90716,243,1,0,0,0,3,138,143.5,0,89,0,142.5,150,0,90,0,13599,0.01787,0.000220604,0.000074,,
90717,366,2,1,1,0,6,139,157.5,0,70.5,0,149,166.5,0,97.5,0,21482,0.01704,0.000279304,0.000093,,
90723,1280,2,1,1,0,21,77,75,104,56,0,91.5,77.5,105,67,0,52050,0.02459,0.000403458,0.000038,,
